example_id                                                              | status  | run_time        |
./spec/services/shlink/get_qr_code_service_spec.rb[1:3:1]               | passed  | 0.02692 seconds |
./spec/services/shlink/get_qr_code_service_spec.rb[1:3:2]               | passed  | 0.0026 seconds  |
./spec/services/shlink/list_short_urls_service_spec.rb[1:1:1:1]         | passed  | 0.00208 seconds |
./spec/services/shlink/list_short_urls_service_spec.rb[1:1:2:1]         | passed  | 0.00343 seconds |
./spec/services/shlink/list_short_urls_service_spec.rb[1:1:3:1]         | passed  | 0.00464 seconds |
./spec/services/shlink/list_short_urls_service_spec.rb[1:2:1:1]         | passed  | 0.0029 seconds  |
./spec/services/shlink/list_short_urls_service_spec.rb[1:2:2:1]         | passed  | 0.00215 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:1:1]         | passed  | 0.01691 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:1:2]         | passed  | 0.04157 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:1:3]         | passed  | 0.01533 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:2:1]         | passed  | 0.01856 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:3:1]         | passed  | 0.01843 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:4:1]         | passed  | 0.01251 seconds |
./spec/services/shlink/sync_short_urls_service_spec.rb[1:1:5:1]         | passed  | 0.01457 seconds |
./spec/system/authentication_spec.rb[1:1:1]                             | passed  | 0.03507 seconds |
./spec/system/authentication_spec.rb[1:1:2]                             | passed  | 0.0244 seconds  |
./spec/system/authentication_spec.rb[1:2:1]                             | passed  | 0.02986 seconds |
./spec/system/authentication_spec.rb[1:2:2]                             | passed  | 0.02671 seconds |
./spec/system/authentication_spec.rb[1:3:1]                             | passed  | 0.02296 seconds |
./spec/system/authentication_spec.rb[1:4:1:1]                           | passed  | 0.0052 seconds  |
./spec/system/authentication_spec.rb[1:4:1:2]                           | passed  | 0.01143 seconds |
./spec/system/authentication_spec.rb[1:4:2:1]                           | passed  | 0.01267 seconds |
./spec/system/authentication_spec.rb[1:4:2:2]                           | passed  | 0.01581 seconds |
./spec/system/authentication_spec.rb[1:5:1:1]                           | passed  | 0.01401 seconds |
./spec/system/authentication_spec.rb[1:5:2:1]                           | passed  | 0.01313 seconds |
./spec/system/qr_code_feature_spec.rb[1:1:1]                            | passed  | 0.01691 seconds |
./spec/system/qr_code_feature_spec.rb[1:1:2]                            | passed  | 0.02023 seconds |
./spec/system/qr_code_feature_spec.rb[1:2:1:1]                          | passed  | 0.03085 seconds |
./spec/system/qr_code_feature_spec.rb[1:2:2:1]                          | passed  | 0.04402 seconds |
./spec/system/qr_code_feature_spec.rb[1:3:1]                            | passed  | 0.00929 seconds |
./spec/system/qr_code_feature_spec.rb[1:3:2]                            | passed  | 0.01144 seconds |
./spec/system/qr_code_feature_spec.rb[1:3:3]                            | passed  | 0.01002 seconds |
./spec/system/qr_code_feature_spec.rb[1:4:1:1]                          | passed  | 0.01542 seconds |
./spec/system/qr_code_feature_spec.rb[1:5:1:1]                          | passed  | 0.03639 seconds |
./spec/system/short_url_creation_spec.rb[1:1:1]                         | failed  | 0.00794 seconds |
./spec/system/short_url_creation_spec.rb[1:1:2]                         | failed  | 0.11176 seconds |
./spec/system/short_url_shortening_spec.rb[1:1:1]                       | passed  | 0.01369 seconds |
./spec/system/short_url_shortening_spec.rb[1:1:2]                       | passed  | 0.0138 seconds  |
./spec/system/short_url_shortening_spec.rb[1:2:1:1]                     | passed  | 0.03055 seconds |
./spec/system/short_url_shortening_spec.rb[1:2:2:1]                     | passed  | 0.02244 seconds |
./spec/system/short_url_shortening_spec.rb[1:2:3:1]                     | passed  | 0.01878 seconds |
./spec/system/short_url_shortening_spec.rb[1:3:1:1]                     | passed  | 0.01961 seconds |
./spec/views/pages/home.html.tailwindcss_spec.rb[1:1]                   | pending | 0.00001 seconds |
